Employee_Name,EmpID,MarriedID,MaritalStatusID,GenderID,EmpStatusID,RoleID,LevelID,PerfScoreID,Tribe,Squad,DOB,RaceDesc,DateofHire,DateofTermination,TermReason,EmploymentStatus,RecruitmentSource,EngagementSurvey,EngangementSurveyRound,EmpSatisfaction,SpecialProjectsCount,LastPerformanceReview_Date,DaysLateLast30,Absences
Hilman Zakky,10124,Married,Married,M,TKP/ Outsource,Back End Developer,Junior,Average,FIN,Platform,32424,Bali,41589,,N/A-StillEmployed,Active,LinkedIn,5,5,3,0,43838,0,20
Idham Muhammad Irfani,10125,Married,Widowed,F,TKP/ Outsource,Back End Developer,Middle,Fully meets,EWD,Data & Dashboard Analytics,08/18/52,Padang,40917,43084,retiring,Voluntarily Terminated,CareerBuilder,4.64,5,4,0,42492,0,8
Ignatius Nicolas Harman,10126,Married,Married,F,TKP/ Outsource,Software Architect,Middle,Exceed,ENT,MyPertamina,27065,Jawa,41771,,N/A-StillEmployed,Active,CareerBuilder,4.76,5,4,0,43876,0,5
Ikhsan Dwi Murtiyanto,10127,Married,Widowed,M,TKP/ Outsource,Front End Developer,Middle,Exceed,ENT,MyPertamina,30773,Cina,41134,,N/A-StillEmployed,Active,Google Search,4.17,4,4,0,43872,0,1
Ilham Abdul Malik,10128,Not married,Single,F,TKP/ Outsource,Back End Developer,Junior,Fully meets,EDU,Squad Pijar Sekolah,08/27/72,Jawa,40553,42173,hours,Voluntarily Terminated,CareerBuilder,5,5,3,0,41669,0,15
Ilham Setiabudi,10129,Not married,Single,M,TKP/ Outsource,Back End Developer,Junior,Need improvement,VGA,IndiBOX Apps,09/14/88,Padang,41869,,N/A-StillEmployed,Active,Indeed,3.6,4,5,0,43860,0,9
Inda Novelia,10130,Not married,Single,F,TKP/ Outsource,Back End Developer,Senior,Fully meets,IHL,IndiBOX STB,02/16/84,Bali,40770,41736,relocation out of area,Voluntarily Terminated,Indeed,3.03,3,5,0,41338,0,16
Indriani Tiosari Sitorus,10131,Married,Married,F,TKP/ Outsource,Mobile Developer Android,Junior,Exceed,FIN,Platform,02/21/84,Padang,42093,,N/A-StillEmployed,Active,Indeed,4.48,4,5,6,43833,0,4
Iqbal,10132,Married,Married,F,TKP/ Outsource,Mobile Developer Android,Junior,Fully meets,EWD,Core Domain,03/17/66,Padang,41764,,N/A-StillEmployed,Active,LinkedIn,4.5,5,4,0,43851,0,19
Iqbal Restu Maulana,10133,Married,Widowed,F,TKP/ Outsource,Front End Developer,Senior,Average,EWD,Get Support,09/16/85,Padang,42051,42840,"no-call, no-show",Terminated for Cause,Indeed,3.24,3,3,4,42475,0,6
Irfan Hafizh Tawakal,10134,Married,Widowed,F,TKP/ Outsource,Back End Developer,Junior,Fully meets,EDU,Squad Pijar Sekolah,31691,Cina,40959,,N/A-StillEmployed,Active,LinkedIn,4.8,5,4,0,43837,0,4
Irfan Naufal Ridi,10135,Married,Married,F,TKP/ Outsource,Back End Developer,Junior,Exceed,EDU,Squad Service Core,30989,Cina,42527,,N/A-StillEmployed,Active,LinkedIn,3,3,5,0,43848,0,4
Irham Raziqony,10136,Married,Widowed,F,TKP/ Outsource,Back End Developer,Junior,Average,EDU,Squad Control Tower,33790,Bali,42160,,N/A-StillEmployed,Active,Indeed,4.5,5,3,0,43875,0,6
Irman Juliansyah,10137,Not married,Single,F,TKP/ Outsource,System Documentation,Middle,Need improvement,EDU,Squad Service Core,09/22/76,Cina,40595,42095,unhappy,Voluntarily Terminated,Google Search,3.72,4,3,0,41671,0,18
Ismi Dwi Lestari,10138,Not married,Single,M,TKP/ Outsource,Front End Developer,Junior,Need improvement,COM,UMEETME,11/15/76,Bali,40595,41906,unhappy,Voluntarily Terminated,Indeed,2.34,2,2,0,41376,3,4
Ismi Narti,10139,Not married,Single,F,Prohire,Front End Developer,Senior,Exceed,IHL,IndiHome Smart,01/28/91,Padang,41505,,N/A-StillEmployed,Active,Indeed,3.99,4,3,0,43844,0,14
Jafar Haritsah,10140,Not married,Single,F,TKP/ Outsource,Back End Developer,Junior,Fully meets,VGA,UseeTV Go,26612,Cina,41218,,N/A-StillEmployed,Active,LinkedIn,4.1,4,3,0,43847,0,7
Jessica Shopia Alussy,10141,Not married,Single,F,TKP/ Outsource,Mobile Developer Android,Junior,Fully meets,COM,ChatAja,03/22/66,Sunda,41547,,N/A-StillEmployed,Active,Employee Referral,4.3,4,5,0,43883,0,7
Jonior Prabowo,10142,Not married,Single,F,TKP/ Outsource,Mobile Developer Android,Junior,Exceed,LGT,Logee Truck Apps,31574,Bali,40729,,N/A-StillEmployed,Active,LinkedIn,4.6,5,4,0,43886,0,11
Karang Reksa,10143,Married,Divorced,F,TKP/ Outsource,Front End Developer,Junior,Need improvement,EWD,Sales Cycle  ,04/13/64,Sunda,41645,,N/A-StillEmployed,Active,LinkedIn,5,5,5,0,43851,0,9
Karina Emelia,10144,Married,Widowed,M,Prohire,Scrum Master,Junior,Need improvement,COM,Vutura,08/19/59,Jawa,40854,43950,more money,Voluntarily Terminated,CareerBuilder,4.7,5,4,0,43510,0,9
Kevin Martinda Sodikin,10145,Not married,Single,F,TKP/ Outsource,DevOps Engineer,Middle,Need improvement,COM,Vutura,31604,Bali,42009,,N/A-StillEmployed,Active,Indeed,3.75,4,3,5,43872,0,2
Khalisa Syahba,10146,Married,Married,F,Prohire,Back End Developer,Senior,Average,IHX,Squad B,25424,Padang,41827,,N/A-StillEmployed,Active,LinkedIn,4.3,4,3,0,43841,0,1
Khonsa Qurrotul Ain,10147,Not married,Single,F,Prohire,Back End Developer,Junior,Fully meets,IHX,Squad C,04/17/86,Jawa,40553,43191,unhappy,Voluntarily Terminated,CareerBuilder,4,4,4,0,42769,0,4
Kushal Choudhary,10148,Married,Widowed,F,Prohire,Front End Developer,Middle,Fully meets,EWD,Get Support,32823,Padang,40854,42484,maternity leave - did not return,Voluntarily Terminated,Google Search,4.5,5,5,0,41728,0,2
Lando Rinov Siahaan,10149,Not married,Single,M,TKP/ Outsource,Back End Developer,Junior,Need improvement,FIN,Bonum,01/19/76,Cina,41547,,N/A-StillEmployed,Active,Indeed,3.07,3,4,0,43853,0,10
Lazuardi Firdaus,10150,Not married,Single,M,TKP/ Outsource,Back End Developer,Senior,Average,IHL,IndiHome Smart,11/27/79,Sunda,41505,,N/A-StillEmployed,Active,Indeed,4.3,4,5,0,43852,0,13
Luluauliayana Sadjugo,10151,Married,Married,F,TKP/ Outsource,Back End Developer,Senior,Average,VGA,UseeTV Go,09/21/54,Padang,41092,,N/A-StillEmployed,Active,Indeed,4.83,5,3,0,43847,0,10
Luqman Aminullah,10152,Not married,Single,F,TKP/ Outsource,System Documentation,Middle,Fully meets,FIN,Platform,26888,Bali,40812,42890,more money,Voluntarily Terminated,Google Search,3.6,4,5,0,42430,0,16
M Aidiel Rachman Putra,10153,Married,Divorced,F,TKP/ Outsource,Scrum Master,Junior,Exceed,COM,ChatAja,25790,Padang,40812,42378,more money,Voluntarily Terminated,Google Search,3.49,3,4,0,41669,0,6
M Fadli Yoga Prawira,10154,Married,Divorced,M,TKP/ Outsource,Front End Developer,Junior,Exceed,COM,UMEETME,28409,Sunda,41687,,N/A-StillEmployed,Active,LinkedIn,3.1,3,3,0,43867,0,3
M Iqbal,10155,Married,Divorced,M,TKP/ Outsource,Front End Developer,Junior,Special treatment,VGA,Ads Based,29253,Bali,40553,,N/A-StillEmployed,Active,Indeed,3.38,3,3,0,43851,0,17
M Luthfi Ridhwan,10156,Not married,Single,M,Prohire,Front End Developer,Middle,Exceed,VGA,IndiBOX Apps,02/24/69,Jawa,40609,,N/A-StillEmployed,Active,Diversity Job Fair,3.65,4,5,0,43847,0,20
M. Abdurrahman Lathief Pratama,10157,Married,Widowed,M,Prohire,Back End Developer,Junior,Fully meets,IHL,IndiHome Music,04/23/86,Sunda,41953,,N/A-StillEmployed,Active,Employee Referral,4.46,4,5,6,43837,0,7
M. Afsori,10158,Not married,Single,M,Prohire,Back End Developer,Junior,Exceed,VGA,UseeTV Go,26305,Cina,40553,43081,attendance,Terminated for Cause,Employee Referral,4.78,5,4,0,42415,0,9
M. Bahtiar,10159,Not married,Single,F,Prohire,UI Designer,Junior,Fully meets,EDU,Squad Pijar Corpu,07/25/79,Cina,41281,42460,Another position,Voluntarily Terminated,Indeed,4.52,5,3,0,42055,0,20
M. Ridwan,10160,Not married,Single,M,TKP/ Outsource,Business Analyst,Middle,Exceed,EDU,Squad Pijar Mahir,31667,Padang,41099,,N/A-StillEmployed,Active,LinkedIn,5,5,5,0,43865,0,13
M. Sifaun Niam,10161,Not married,Single,M,TKP/ Outsource,Business Analyst,Junior,Special treatment,EWD,Product & Content Management System,04/26/84,Cina,41645,,N/A-StillEmployed,Active,Website,5,5,4,4,43847,0,3
M.Khairi Usman,10162,Married,Married,M,Prohire,Business Analyst,Junior,Exceed,EWD,Progressive Web App,30930,Sunda,41001,42109,more money,Voluntarily Terminated,Google Search,4.9,5,3,0,41690,0,20
Magfira Fairuz,10163,Married,Married,F,Prohire,Business Analyst,Junior,Exceed,EWD,Activate & Install,06/14/87,Cina,42645,,N/A-StillEmployed,Active,Indeed,4.1,4,5,7,43838,0,2
Mahardicka Nurachman,10164,Married,Divorced,F,Prohire,Front End Developer,Junior,Exceed,LGT,Logee Truck Web,01/17/79,Padang,40812,44062,return to school,Voluntarily Terminated,CareerBuilder,4.88,5,3,0,43283,0,17
Maman Imtiyaz,10165,Not married,Single,M,TKP/ Outsource,Back End Developer,Junior,Exceed,IHX,Squad B,30961,Sunda,42374,,N/A-StillEmployed,Active,CareerBuilder,4.1,4,4,0,43858,0,20
Mauliawan Prima Santosa,10166,Married,Married,M,TKP/ Outsource,UX Designer,Junior,Fully meets,VGA,IndiBOX Apps,29991,Sunda,41043,,N/A-StillEmployed,Active,Google Search,4.1,4,3,0,43883,0,10
Meidiana Aprilliani,10167,Married,Widowed,M,TKP/ Outsource,Front End Developer,Junior,Exceed,VGA,UseeTV Go,12/27/88,Bali,41029,,N/A-StillEmployed,Active,Website,4.53,5,3,0,43859,0,16
Mesakh,10168,Married,Widowed,F,TKP/ Outsource,Product Owner,Junior,Average,LGT,Logee Truck Apps,10/26/81,Cina,41547,,N/A-StillEmployed,Active,Website,4.1,4,3,0,43851,0,11
Mochamad Ramdhan,10169,Married,Widowed,F,TKP/ Outsource,Scrum Master,Middle,Special treatment,EDU,Squad Pijar Sekolah,03/26/81,Padang,40729,44100,unhappy,Voluntarily Terminated,Indeed,3.18,3,4,0,43526,0,16
Moh Anang Nur Aji Pambudi,10170,Married,Married,M,Prohire,UX Researcher,Junior,Fully meets,EDU,Squad Pijar Sekolah,03/19/79,Cina,41463,,N/A-StillEmployed,Active,LinkedIn,4,4,3,0,43879,0,7
Mohamad Rinaldy,10171,Married,Divorced,F,Prohire,Front End Developer,Middle,Need improvement,EDU,Squad Pijar Sekolah,32273,Bali,40564,,N/A-StillEmployed,Active,Diversity Job Fair,4.64,5,4,5,43855,0,14
Mohammad Alhafidz Permana Baskoro,10172,Married,Married,F,TKP/ Outsource,Digital Product Manager,Junior,Special treatment,ENT,MyPertamina,12/26/76,Padang,41463,43358,more money,Voluntarily Terminated,LinkedIn,4.65,5,4,0,42896,0,15
Mohammad Zamal Syahputra,10173,Married,Divorced,F,TKP/ Outsource,Digital Product Manager,Junior,Fully meets,HLT,Pre Vaksinasi,03/28/82,Padang,41505,,N/A-StillEmployed,Active,Indeed,4.2,4,4,0,43873,0,19
Mohammed Ammad,10174,Not married,Single,F,TKP/ Outsource,UI Designer,Senior,Fully meets,COM,ChatAja,10/22/75,Bali,42051,,N/A-StillEmployed,Active,Website,5,5,3,0,43853,0,6
Mona Turisna Nasution,10175,Not married,Single,F,TKP/ Outsource,UI Designer,Junior,Average,VGA,UseeTV Go,02/14/73,Cina,40854,43053,Another position,Voluntarily Terminated,Diversity Job Fair,5,5,4,0,42402,0,17
Muhamad,10176,Married,Married,M,TKP/ Outsource,Back End Developer,Junior,Average,FIN,MPS,26553,Sunda,41176,43734,hours,Voluntarily Terminated,Indeed,3.08,3,4,0,43191,0,18
Muhamad Hanif Abiyoga,10177,Not married,Single,F,TKP/ Outsource,Back End Developer,Junior,Average,IHX,Squad A,31600,Sunda,41645,,N/A-StillEmployed,Active,LinkedIn,4.6,5,4,0,43887,0,14
Muhamad Son'ani,10178,Married,Married,F,TKP/ Outsource,Back End Developer,Senior,Exceed,FIN,Platform,08/25/76,Cina,42501,,N/A-StillEmployed,Active,LinkedIn,5,5,3,0,43851,0,4
Muhamad Syaifurrahman Muhtarom,10179,Not married,Single,F,TKP/ Outsource,Front End Developer,Junior,Exceed,ENT,HunianAja,31697,Cina,40729,41870,Another position,Voluntarily Terminated,LinkedIn,5,5,4,0,41457,0,16
Muhammad Abdurrahim Suwandi,10180,Not married,Single,F,TKP/ Outsource,Product Owner,Junior,Fully meets,Com,DTP Com,27221,Jawa,41589,,N/A-StillEmployed,Active,LinkedIn,4.1,4,3,0,43852,0,11
Muhammad Afthon,10181,Married,Divorced,F,Prohire,Product Owner,Middle,Special treatment,COM,UMEETME,31969,Cina,41589,,N/A-StillEmployed,Active,Google Search,4.5,5,5,4,43844,0,14
Muhammad Agiet Putra,10182,Not married,Single,F,Prohire,Product Owner,Middle,Exceed,EWD,Get Support,11/22/77,Jawa,40694,,N/A-StillEmployed,Active,Indeed,5,5,4,0,43840,0,8
Muhammad Akmalul Ginan,10183,Married,Widowed,F,TKP/ Outsource,Business Analyst,Junior,Exceed,FIN,GTM,05/21/87,Bali,42093,,N/A-StillEmployed,Active,LinkedIn,5,5,5,0,43868,0,16
Muhammad Andika Tata,10184,Not married,Single,F,TKP/ Outsource,Business Analyst,Junior,Fully meets,ENT,MyPertamina,31959,Jawa,41281,,N/A-StillEmployed,Active,CareerBuilder,3.93,4,3,0,43860,0,20
Muhammad Attallah Zhuhry,10185,Married,Married,M,TKP/ Outsource,Product Owner,Middle,Average,FIN,Bonum,30688,Cina,42557,,N/A-StillEmployed,Active,Website,3.4,3,4,0,43859,0,7
Muhammad Faishal Ramadhan,10186,Married,Divorced,F,TKP/ Outsource,Business Analyst,Junior,Exceed,COM,UMEETME,05/30/68,Jawa,41001,43415,Another position,Voluntarily Terminated,Diversity Job Fair,4.18,4,4,0,42771,0,17
Muhammad Fauzi,10187,Not married,Single,F,TKP/ Outsource,Business Analyst,Junior,Average,FIN,Inpoin,09/22/76,Padang,42093,,N/A-StillEmployed,Active,CareerBuilder,5,5,4,0,43851,0,10
Muhammad Febriansyah,10188,Married,Married,M,Karyawan Organik,Business Analyst,Middle,Fully meets,IHX,Squad B,29867,Jawa,41137,,N/A-StillEmployed,Active,Indeed,4.37,4,3,0,43844,0,2
Muhammad Ilham Rilambang,10189,Not married,Single,M,Karyawan Organik,Product Owner,Junior,Exceed,EWD,Explore,06/29/85,Cina,40770,42617,unhappy,Voluntarily Terminated,LinkedIn,3,3,2,0,41653,6,6
Muhammad Indrawan,10190,Married,Widowed,M,TKP/ Outsource,Product Owner,Middle,Average,COM,ChatAja,08/17/92,Cina,40854,,N/A-StillEmployed,Active,LinkedIn,3.7,4,3,0,43838,0,14
Muhammad Jamaludin,10191,Married,Divorced,M,TKP/ Outsource,Product Owner,Junior,Average,COM,OCA,31542,Jawa,40954,,N/A-StillEmployed,Active,Diversity Job Fair,2.39,2,3,6,43883,4,13
Muhammad Maulana Darrel Monty,10192,Not married,Single,F,TKP/ Outsource,Business Analyst,Junior,Fully meets,FIN,GTM,04/24/70,Padang,41407,,N/A-StillEmployed,Active,Indeed,4.7,5,3,0,43844,0,1
Muhammad Maulana Hadi,10193,Married,Married,M,TKP/ Outsource,Product Owner,Junior,Fully meets,FIN,GTM,27831,Bali,40917,,N/A-StillEmployed,Active,Diversity Job Fair,4.1,4,4,0,43861,0,12
Muhammad Misbah Arya Lugina,10194,Married,Divorced,F,TKP/ Outsource,UI Designer,Junior,Average,FIN,Inpoin,28949,Sunda,42051,,N/A-StillEmployed,Active,CareerBuilder,3.81,4,3,6,43872,0,6
Muhammad Raihan Nismara,10195,Not married,Single,F,TKP/ Outsource,UX Designer,Junior,Average,EDU,Squad Pijar Corpu,30870,Padang,41365,,N/A-StillEmployed,Active,LinkedIn,4.4,4,4,0,43847,0,18
Muhammad Rajab Priharsanto,10196,Not married,Single,M,TKP/ Outsource,UI Designer,Junior,Average,EDU,Squad Pijar Mahir,27041,Sunda,41407,,N/A-StillEmployed,Active,LinkedIn,4.29,4,5,0,43858,0,11
Muhammad Risano Akbar,10197,Not married,Single,M,TKP/ Outsource,UX Designer,Junior,Fully meets,EWD,Delivery & Project Mgt,04/18/80,Jawa,41463,,N/A-StillEmployed,Active,LinkedIn,4.1,4,4,0,43852,0,13
Muhammad Rizki Nofsyiami,10198,Married,Divorced,M,TKP/ Outsource,UI Designer,Junior,Need improvement,EWD,Refactoring New IA,04/25/70,Padang,42776,,N/A-StillEmployed,Active,Indeed,5,5,3,6,43886,0,17
Muhammad Rizqi Mubarak,10199,Not married,Single,M,TKP/ Outsource,UI Designer,Junior,Exceed,ENT,MyPertamina,32544,Jawa,40812,42464,return to school,Voluntarily Terminated,Diversity Job Fair,4.3,4,3,0,41700,0,19
Muhammad Rozinul Mahrus,10200,Married,Married,M,TKP/ Outsource,UX Designer,Middle,Average,EDU,Squad Service Core,03/28/83,Bali,41365,43245,more money,Voluntarily Terminated,Employee Referral,3.18,3,3,0,42800,0,10
Muhammad Sidiq,10201,Married,Widowed,M,TKP/ Outsource,UI Designer,Middle,Average,COM,UMEETME,28341,Bali,41771,,N/A-StillEmployed,Active,LinkedIn,5,5,5,0,43879,0,11
Nabilla,10202,Married,Widowed,F,TKP/ Outsource,UX Writer,Junior,Fully meets,Com,DTP Com,24537,Sunda,41365,,N/A-StillEmployed,Active,Diversity Job Fair,4,4,3,0,43874,0,12
Nanda Yusuf,10203,Married,Widowed,F,TKP/ Outsource,UX Designer,Junior,Average,COM,UMEETME,03/31/89,Jawa,41463,,N/A-StillEmployed,Active,Indeed,5,5,5,0,43855,0,2
Naufal Rasyad,10204,Not married,Single,F,TKP/ Outsource,UX Writer,Junior,Fully meets,EDU,Squad Pijar Corpu,30870,Bali,41463,,N/A-StillEmployed,Active,LinkedIn,3.6,4,5,0,43832,0,4
Naufal Rizky Pratama,10205,Married,Widowed,F,TKP/ Outsource,Artificial Intelligent,Junior,Average,EDU,Squad Pijar Mahir,11/23/85,Cina,41953,,N/A-StillEmployed,Active,Indeed,4.53,5,5,0,43846,0,5
Nila Herlina,10206,Not married,Single,F,Prohire,UI Designer,Junior,Exceed,IHX,Squad C,09/30/80,Bali,41729,43952,performance,Terminated for Cause,LinkedIn,2.33,2,2,0,43533,6,3
Nurisyani,10207,Married,Married,F,Prohire,Back End Developer,Junior,Average,LGT,Logee Truck All Product,19300,Bali,41043,42235,unhappy,Voluntarily Terminated,LinkedIn,5,5,3,0,41822,0,17
Nurkhasanah,10208,Not married,Single,F,Prohire,Back End Developer,Junior,Need improvement,COM,OCA,33182,Sunda,41547,,N/A-StillEmployed,Active,Indeed,4.28,4,3,0,43855,0,1
Peni Kurniawati,10209,Not married,Single,M,Prohire,Front End Developer,Junior,Fully meets,FIN,Platform,28076,Padang,41547,,N/A-StillEmployed,Active,LinkedIn,5,5,3,0,43868,0,13
Prajna Vira,10210,Not married,Single,M,Prohire,Front End Developer,Junior,Fully meets,FIN,Platform,11/24/79,Bali,41687,,N/A-StillEmployed,Active,LinkedIn,4.25,4,3,0,43865,4,6
Pratama Agung Sumirat,10211,Not married,Single,M,Prohire,Front End Developer,Junior,Exceed,FIN,Platform,05/19/82,Cina,42009,,N/A-StillEmployed,Active,Website,5,5,5,0,43844,0,18
Prita Normanita,10212,Not married,Single,F,Prohire,Front End Developer,Junior,Average,ENT,MyPertamina,28860,Bali,40581,42381,Another position,Voluntarily Terminated,Google Search,3.89,4,4,0,41702,0,7
Qaedif Fuadillah,10213,Married,Divorced,M,TKP/ Outsource,Back End Developer,Junior,Special treatment,COM,UMEETME,02/20/79,Jawa,40854,42985,Another position,Voluntarily Terminated,Diversity Job Fair,5,5,5,3,42598,0,13
Qalfin Qallista Turandy,10214,Married,Divorced,M,TKP/ Outsource,Mobile Developer Android,Middle,Average,EWD,RPA & Profitability,30811,Jawa,41974,43221,performance,Voluntarily Terminated,Employee Referral,4.7,5,4,5,42751,0,19
R Aditya Prastyawan,10215,Not married,Single,M,TKP/ Outsource,Back End Developer,Junior,Exceed,EDU,Squad Pijar Mahir,03/17/88,Cina,40553,43827,career change,Voluntarily Terminated,Google Search,3.54,4,5,0,43196,4,15
R. Abimanyu Sutomo,10216,Married,Divorced,F,TKP/ Outsource,Back End Developer,Senior,Exceed,ENT,HunianAja,07/18/89,Cina,40729,42993,unhappy,Voluntarily Terminated,CareerBuilder,2.4,2,5,0,42406,5,2
Rachman Teja,10217,Married,Married,F,Karyawan Organik,Back End Developer,Junior,Exceed,LGT,Logee Port (Maintainer),07/20/86,Padang,40679,43033,medical issues,Voluntarily Terminated,LinkedIn,3.45,3,4,0,42137,0,5
Raden Syamsa Nur Ashari Mahmud,10218,Married,Widowed,F,Karyawan Organik,Front End Developer,Senior,Average,LGT,Logee Truck All Product,08/17/86,Cina,40679,42039,more money,Voluntarily Terminated,Indeed,4.2,4,5,0,41649,0,12
Rahadian Ardya K,10219,Married,Divorced,F,Prohire,Back End Developer,Middle,Fully meets,EWD,Sales Cycle   ,28373,Padang,40476,43238,Another position,Voluntarily Terminated,Indeed,4.16,4,5,0,42434,0,6
Rahardian Agung Wardana,10220,Not married,Single,F,Prohire,Mobile Developer Android,Middle,Need improvement,LGT,Logee Port,29131,Bali,41001,,N/A-StillEmployed,Active,LinkedIn,4.3,4,3,0,43844,0,14
Rahmat Agus Nuryady,10221,Not married,Single,F,TKP/ Outsource,Back End Developer,Middle,Fully meets,HLT,PeduliLindungi,09/16/84,Sunda,41953,,N/A-StillEmployed,Active,Employee Referral,4.6,5,5,7,43834,0,16
Rahmat Prastyo,10222,Not married,Single,M,TKP/ Outsource,Back End Developer,Middle,Exceed,FIN,Platform,32297,Sunda,40729,41973,more money,Voluntarily Terminated,Google Search,5,5,3,0,41325,0,13
Rahmat Saefullah,10223,Not married,Single,M,TKP/ Outsource,Back End Developer,Middle,Exceed,COM,UMEETME,11/23/81,Sunda,39391,,N/A-StillEmployed,Active,Google Search,3.66,4,3,0,43886,0,15
Rani Triani Gustia,10224,Married,Widowed,F,TKP/ Outsource,Back End Developer,Middle,Exceed,COM,UMEETME,08/29/88,Sunda,40917,,N/A-StillEmployed,Active,Website,4.2,4,5,0,43862,0,9
Rd Muhamad Rahadi Sampurna,10225,Married,Married,F,TKP/ Outsource,Front End Developer,Junior,Average,EDU,Squad Control Tower,10/15/84,Padang,40679,43986,Another position,Voluntarily Terminated,Google Search,3.17,3,4,0,43557,0,14
Refal Pradama Dahlan,10226,Not married,Single,M,TKP/ Outsource,Back End Developer,Middle,Average,EDU,Squad Pijar Sekolah,06/19/61,Bali,41645,,N/A-StillEmployed,Active,Employee Referral,4.8,5,3,0,43837,0,14
Rendy Kenan Eliazar,10227,Married,Widowed,F,TKP/ Outsource,Back End Developer,Senior,Average,IHX,Squad B,09/22/70,Jawa,41176,42173,unhappy,Voluntarily Terminated,Indeed,4.5,5,5,0,41731,0,16
Renita Dewi,10228,Married,Divorced,M,Prohire,Front End Developer,Middle,Fully meets,IHX,Squad C,30844,Jawa,40595,42962,career change,Voluntarily Terminated,Diversity Job Fair,4.15,4,4,0,42113,0,4
Resskytha Permata Sari,10229,Not married,Single,F,Prohire,Front End Developer,Senior,Average,IHX,Squad D,29560,Padang,42645,,N/A-StillEmployed,Active,Indeed,4.4,4,4,6,43867,0,10
Reva Histro Wiki Fonseca,10230,Married,Married,M,TKP/ Outsource,Back End Developer,Middle,Fully meets,IHX,Squad A,12/31/84,Padang,40812,43928,more money,Voluntarily Terminated,Indeed,3.8,4,5,0,43500,0,19
Rheznandya Daffi Pradipta,10231,Not married,Single,M,Prohire,Mobile Developer Android,Middle,Average,EWD,Data & Dashboard Analytics,20068,Jawa,41771,,N/A-StillEmployed,Active,CareerBuilder,3.98,4,3,0,43858,0,4
Rian Sopiyan,10232,Not married,Single,M,Prohire,System Documentation,Junior,Exceed,EWD,Payment - SSOF,07/22/82,Bali,40679,43115,retiring,Voluntarily Terminated,LinkedIn,5,5,4,0,42459,0,11
Rivano Dwi Hervan,10233,Married,Widowed,F,TKP/ Outsource,Front End Developer,Middle,Average,FIN,MPS,26999,Jawa,40875,,N/A-StillEmployed,Active,Google Search,4.36,4,5,0,43872,0,16
Rizal Prasetya Nugraha,10234,Not married,Single,F,TKP/ Outsource,Front End Developer,Junior,Exceed,COM,UMEETME,29715,Padang,40812,41569,return to school,Voluntarily Terminated,Google Search,4.5,5,4,0,41204,0,10
Rizka Annisa Kurniasari,10235,Married,Widowed,M,TKP/ Outsource,Front End Developer,Junior,Exceed,EDU,Squad Control Tower,26365,Sunda,40729,41678,Another position,Voluntarily Terminated,Indeed,4.2,4,5,0,41280,0,13
Rizky Febrianto,10236,Married,Married,M,TKP/ Outsource,Front End Developer,Junior,Fully meets,EDU,Squad Pijar Corpu,27211,Jawa,40553,43126,attendance,Voluntarily Terminated,Indeed,5,5,3,0,42379,0,11
Rizky Ramadhan Subagio,10237,Not married,Single,F,TKP/ Outsource,Front End Developer,Junior,Average,EWD,Explore,31229,Jawa,40553,43237,attendance,Terminated for Cause,Indeed,3.6,4,3,0,42830,4,16
Rudi Indra Putranto,10238,Not married,Single,M,TKP/ Outsource,Front End Developer,Middle,Fully meets,EWD,Product & Content Management System,01/28/85,Padang,41463,,N/A-StillEmployed,Active,Employee Referral,3.6,4,5,0,43872,0,4
Ryan Brama,10239,Not married,Single,F,TKP/ Outsource,Back End Developer,Middle,Average,EWD,Progressive Web App,29900,Cina,42051,,N/A-StillEmployed,Active,Employee Referral,3.69,4,5,6,43875,0,15
Salma Adilah Putri,10240,Married,Married,F,TKP/ Outsource,Back End Developer,Middle,Average,VGA,Ads Based,05/27/73,Cina,42009,44145,Another position,Voluntarily Terminated,LinkedIn,3.88,4,3,7,43509,0,12
Salma Rizqi Fadhila,10241,Married,Married,F,TKP/ Outsource,Front End Developer,Middle,Exceed,VGA,IndiBOX Apps,11/21/72,Cina,42742,,N/A-StillEmployed,Active,Indeed,4.94,5,3,5,43867,0,17
Salsabila Nur Fitria,10242,Married,Widowed,F,Prohire,Mobile Developer Android,Middle,Fully meets,VGA,UseeTV Go,27161,Cina,41645,,N/A-StillEmployed,Active,Website,5,5,4,0,43861,0,8
Samnursanto,10243,Not married,Single,M,TKP/ Outsource,Mobile Developer Android,Middle,Average,ENT,MyPertamina,03/18/87,Sunda,40637,44056,Another position,Voluntarily Terminated,Google Search,5,5,5,0,43648,0,4
Sarah Mutia Putri,10244,Married,Married,M,Prohire,Back End Developer,Middle,Average,FIN,Bonum,26788,Padang,41294,,N/A-StillEmployed,Active,Indeed,3.6,4,5,7,43879,0,13
Sayed Muzammil,10245,Not married,Single,M,Prohire,Mobile Developer Android,Middle,Exceed,COM,Vutura,23468,Cina,40917,43043,hours,Voluntarily Terminated,Diversity Job Fair,4.3,4,4,6,42373,0,8
Setiawan Restu Aji,10246,Married,Widowed,F,Prohire,Mobile Developer Android,Middle,Need improvement,HLT,PeduliLindungi,07/24/86,Bali,41218,,N/A-StillEmployed,Active,Indeed,4.2,4,3,6,43874,0,2
Shabrina Fitri Ningtyas,10247,Not married,Single,F,Prohire,Mobile Developer iOS,Middle,Fully meets,VGA,IndiBOX Apps,24995,Padang,42555,,N/A-StillEmployed,Active,Diversity Job Fair,2.6,3,4,0,43879,5,4
